step 00690/01680 (41.07%) | loss: 3.178241 | lrm: 0.91 | dt: 2133.89ms | tok/sec: 245,695 | bf16_mfu: 59.82 | epoch: 1 pq: 7 rg: 56 | total time: 24.18m | eta: 35.2m
step 00691/01680 (41.13%) | loss: 3.177454 | lrm: 0.91 | dt: 2135.86ms | tok/sec: 245,469 | bf16_mfu: 59.77 | epoch: 1 pq: 7 rg: 57 | total time: 24.21m | eta: 35.2m
step 00692/01680 (41.19%) | loss: 3.177738 | lrm: 0.91 | dt: 2133.37ms | tok/sec: 245,755 | bf16_mfu: 59.84 | epoch: 1 pq: 7 rg: 58 | total time: 24.25m | eta: 35.1m
step 00693/01680 (41.25%) | loss: 3.181689 | lrm: 0.91 | dt: 2133.49ms | tok/sec: 245,742 | bf16_mfu: 59.84 | epoch: 1 pq: 7 rg: 59 | total time: 24.28m | eta: 35.1m
step 00694/01680 (41.31%) | loss: 3.172205 | lrm: 0.91 | dt: 2138.08ms | tok/sec: 245,213 | bf16_mfu: 59.71 | epoch: 1 pq: 7 rg: 60 | total time: 24.32m | eta: 35.1m
step 00695/01680 (41.37%) | loss: 3.164290 | lrm: 0.91 | dt: 2136.92ms | tok/sec: 245,347 | bf16_mfu: 59.74 | epoch: 1 pq: 7 rg: 61 | total time: 24.35m | eta: 35.0m
step 00696/01680 (41.43%) | loss: 3.165376 | lrm: 0.91 | dt: 2136.20ms | tok/sec: 245,430 | bf16_mfu: 59.76 | epoch: 1 pq: 7 rg: 62 | total time: 24.39m | eta: 35.0m
step 00697/01680 (41.49%) | loss: 3.160901 | lrm: 0.91 | dt: 2135.60ms | tok/sec: 245,498 | bf16_mfu: 59.78 | epoch: 1 pq: 7 rg: 62 | total time: 24.42m | eta: 34.9m
step 00698/01680 (41.55%) | loss: 3.167846 | lrm: 0.90 | dt: 2138.49ms | tok/sec: 245,167 | bf16_mfu: 59.70 | epoch: 1 pq: 7 rg: 63 | total time: 24.46m | eta: 34.9m
step 00699/01680 (41.61%) | loss: 3.171327 | lrm: 0.90 | dt: 2134.28ms | tok/sec: 245,651 | bf16_mfu: 59.81 | epoch: 1 pq: 7 rg: 64 | total time: 24.50m | eta: 34.9m
step 00700/01680 (41.67%) | loss: 3.174238 | lrm: 0.90 | dt: 2136.77ms | tok/sec: 245,364 | bf16_mfu: 59.74 | epoch: 1 pq: 7 rg: 65 | total time: 24.53m | eta: 34.8m
step 00701/01680 (41.73%) | loss: 3.172578 | lrm: 0.90 | dt: 2134.69ms | tok/sec: 245,603 | bf16_mfu: 59.80 | epoch: 1 pq: 7 rg: 66 | total time: 24.57m | eta: 34.8m
step 00702/01680 (41.79%) | loss: 3.172912 | lrm: 0.90 | dt: 2141.19ms | tok/sec: 244,858 | bf16_mfu: 59.62 | epoch: 1 pq: 7 rg: 67 | total time: 24.60m | eta: 34.8m
step 00703/01680 (41.85%) | loss: 3.177674 | lrm: 0.90 | dt: 2135.17ms | tok/sec: 245,548 | bf16_mfu: 59.79 | epoch: 1 pq: 7 rg: 68 | total time: 24.64m | eta: 34.7m
step 00704/01680 (41.90%) | loss: 3.183309 | lrm: 0.90 | dt: 2136.56ms | tok/sec: 245,388 | bf16_mfu: 59.75 | epoch: 1 pq: 7 rg: 69 | total time: 24.67m | eta: 34.7m
step 00705/01680 (41.96%) | loss: 3.183339 | lrm: 0.90 | dt: 2134.62ms | tok/sec: 245,612 | bf16_mfu: 59.80 | epoch: 1 pq: 7 rg: 70 | total time: 24.71m | eta: 34.7m
step 00706/01680 (42.02%) | loss: 3.178913 | lrm: 0.90 | dt: 2133.48ms | tok/sec: 245,742 | bf16_mfu: 59.84 | epoch: 1 pq: 7 rg: 71 | total time: 24.74m | eta: 34.6m
step 00707/01680 (42.08%) | loss: 3.185728 | lrm: 0.90 | dt: 2134.33ms | tok/sec: 245,645 | bf16_mfu: 59.81 | epoch: 1 pq: 7 rg: 72 | total time: 24.78m | eta: 34.6m
step 00708/01680 (42.14%) | loss: 3.183799 | lrm: 0.90 | dt: 2136.56ms | tok/sec: 245,389 | bf16_mfu: 59.75 | epoch: 1 pq: 7 rg: 73 | total time: 24.82m | eta: 34.6m
step 00709/01680 (42.20%) | loss: 3.178621 | lrm: 0.89 | dt: 2131.11ms | tok/sec: 246,016 | bf16_mfu: 59.90 | epoch: 1 pq: 7 rg: 74 | total time: 24.85m | eta: 34.5m
step 00710/01680 (42.26%) | loss: 3.193240 | lrm: 0.89 | dt: 2142.82ms | tok/sec: 244,671 | bf16_mfu: 59.58 | epoch: 1 pq: 7 rg: 74 | total time: 24.89m | eta: 34.5m
step 00711/01680 (42.32%) | loss: 3.195630 | lrm: 0.89 | dt: 2135.69ms | tok/sec: 245,488 | bf16_mfu: 59.77 | epoch: 1 pq: 7 rg: 75 | total time: 24.92m | eta: 34.5m
